,0,1,2,3,4,cluster
0,0.0,0.1,0.5,0.26,0.05,Cluster 1
1,0.05,0.05,0.55,0.6,0.14,Cluster 1
2,0.08,0.18,0.63,0.6,0.85,Cluster 1
3,0.2,0.2,0.68,0.67,0.85,Cluster 1
4,0.22,0.22,0.9,0.3,0.9,Cluster 1
5,0.14,0.14,0.7,0.5,0.3,Cluster 1
6,0.16,0.16,0.8,0.5,0.5,Cluster 1
7,0.12,0.12,0.75,0.68,0.15,Cluster 1
8,0.2,0.2,0.88,0.77,0.8,Cluster 1
9,0.16,0.25,0.01,0.1,0.07,Cluster 1
10,0.11,0.29,0.2,0.05,0.66,Cluster 1
11,0.18,0.26,0.05,0.4,0.04,Cluster 1
12,0.21,0.32,0.25,0.5,0.8,Cluster 1
13,0.13,0.28,0.18,0.75,0.32,Cluster 1
14,0.23,0.29,0.45,0.18,0.88,Cluster 1
15,0.1,0.27,0.35,0.45,0.05,Cluster 1
16,0.22,0.31,0.42,0.88,0.8,Cluster 1
17,0.0,0.25,0.5,0.09,0.07,Cluster 1
18,0.05,0.29,0.58,0.14,0.32,Cluster 1
19,0.1,0.3,0.58,0.28,0.55,Cluster 1
20,0.2,0.32,0.65,0.31,0.89,Cluster 1
21,0.19,0.28,0.57,0.58,0.17,Cluster 1
22,0.11,0.26,0.56,0.68,0.27,Cluster 1
23,0.12,0.28,0.7,0.16,0.32,Cluster 1
24,0.18,0.29,0.78,0.15,0.61,Cluster 1
25,0.2,0.25,0.7,0.25,0.03,Cluster 1
26,0.16,0.28,0.72,0.27,0.32,Cluster 1
27,0.11,0.3,0.79,0.8,0.32,Cluster 1
28,0.18,0.31,0.81,0.7,0.4,Cluster 1
29,0.1,0.33,0.02,0.0,0.25,Cluster 1
30,0.18,0.37,0.11,0.28,0.3,Cluster 1
31,0.13,0.4,0.17,0.25,0.38,Cluster 1
32,0.11,0.42,0.38,0.82,0.31,Cluster 1
33,0.22,0.48,0.47,0.78,0.81,Cluster 1
34,0.14,0.38,0.59,0.11,0.32,Cluster 1
35,0.15,0.42,0.6,0.15,0.62,Cluster 1
36,0.09,0.38,0.54,0.69,0.21,Cluster 1
37,0.2,0.49,0.68,0.76,0.78,Cluster 1
38,0.12,0.62,0.21,0.3,0.59,Cluster 1
39,0.14,0.65,0.19,0.26,0.66,Cluster 1
40,0.16,0.51,0.09,0.38,0.1,Cluster 1
41,0.12,0.56,0.13,0.48,0.32,Cluster 1
42,0.2,0.85,0.24,0.79,0.85,Noise
43,0.16,0.52,0.3,0.09,0.11,Cluster 1
44,0.21,0.78,0.42,0.32,0.84,Cluster 1
45,0.08,0.56,0.33,0.4,0.1,Cluster 1
46,0.14,0.61,0.39,0.56,0.56,Cluster 1
47,0.18,0.7,0.41,0.67,0.33,Cluster 1
48,0.22,0.8,0.44,0.78,0.88,Cluster 1
49,0.1,0.6,0.51,0.1,0.01,Cluster 1
50,0.15,0.67,0.56,0.07,0.66,Cluster 1
51,0.0,0.62,0.52,0.26,0.07,Cluster 1
52,0.11,0.88,0.67,0.66,0.89,Cluster 1
53,0.08,0.56,0.7,0.14,0.1,Cluster 1
54,0.21,0.9,0.9,0.22,0.92,Cluster 1
55,0.08,0.58,0.71,0.27,0.09,Cluster 1
56,0.13,0.62,0.77,0.28,0.31,Cluster 1
57,0.21,0.88,0.87,0.56,0.95,Cluster 1
58,0.22,0.86,0.83,0.89,0.65,Cluster 1
59,0.2,0.78,0.91,0.82,0.85,Cluster 1
60,0.25,0.0,0.1,0.12,0.37,Cluster 1
61,0.29,0.1,0.17,0.74,0.52,Cluster 1
62,0.3,0.18,0.23,0.9,0.84,Cluster 1
63,0.32,0.02,0.34,0.13,0.31,Cluster 1
64,0.28,0.12,0.38,0.17,0.6,Cluster 1
65,0.26,0.09,0.33,0.28,0.32,Cluster 1
66,0.28,0.16,0.41,0.51,0.56,Cluster 1
67,0.26,0.12,0.34,0.68,0.29,Cluster 1
68,0.31,0.2,0.46,0.78,0.83,Cluster 1
69,0.25,0.05,0.53,0.1,0.12,Cluster 1
70,0.32,0.15,0.66,0.24,0.82,Cluster 1
71,0.28,0.08,0.52,0.25,0.08,Cluster 1
72,0.33,0.2,0.64,0.59,0.94,Cluster 1
73,0.31,0.15,0.58,0.76,0.52,Cluster 1
74,0.28,0.06,0.7,0.27,0.32,Cluster 1
75,0.3,0.16,0.89,0.32,0.95,Cluster 1
76,0.27,0.03,0.76,0.59,0.23,Cluster 1
77,0.32,0.2,0.84,0.81,0.8,Cluster 1
78,0.31,0.32,0.29,0.31,0.96,Cluster 1
79,0.28,0.29,0.19,0.37,0.58,Cluster 1
80,0.32,0.31,0.26,0.83,0.77,Cluster 1
81,0.25,0.28,0.3,0.001,0.25,Cluster 1
82,0.26,0.26,0.31,0.26,0.13,Cluster 1
83,0.27,0.29,0.34,0.28,0.32,Cluster 1
84,0.28,0.28,0.38,0.29,0.62,Cluster 1
85,0.26,0.26,0.35,0.62,0.24,Cluster 1
86,0.3,0.32,0.43,0.87,0.83,Cluster 1
87,0.25,0.26,0.51,0.04,0.13,Cluster 1
88,0.28,0.27,0.56,0.14,0.31,Cluster 1
89,0.31,0.32,0.69,0.3,0.98,Cluster 1
90,0.28,0.29,0.57,0.6,0.27,Cluster 1
91,0.27,0.28,0.59,0.69,0.26,Cluster 1
92,0.25,0.28,0.77,0.11,0.31,Cluster 1
93,0.25,0.54,0.31,0.25,0.08,Cluster 1
94,0.29,0.66,0.35,0.28,0.31,Cluster 1
95,0.29,0.74,0.39,0.41,0.54,Cluster 1
96,0.31,0.82,0.47,0.4,0.99,Cluster 1
97,0.28,0.55,0.38,0.9,0.22,Cluster 1
98,0.33,0.04,0.02,0.12,0.11,Cluster 1
99,0.37,0.09,0.1,0.13,0.32,Cluster 1
100,0.4,0.15,0.16,0.3,0.58,Cluster 1
101,0.37,0.07,0.1,0.41,0.3,Cluster 1
102,0.41,0.11,0.21,0.44,0.57,Cluster 1
103,0.42,0.13,0.15,0.94,0.3,Cluster 1
104,0.41,0.04,0.33,0.26,0.12,Cluster 1
105,0.38,0.09,0.37,0.28,0.32,Cluster 1
106,0.42,0.29,0.14,0.03,0.68,Cluster 1
107,0.4,0.3,0.18,0.29,0.59,Cluster 1
108,0.38,0.33,0.1,0.07,0.4,Cluster 1
109,0.47,0.47,0.25,0.96,0.61,Cluster 1
110,0.41,0.37,0.79,0.12,0.32,Cluster 1
111,0.42,0.39,0.78,0.32,0.2,Cluster 1
112,0.36,0.52,0.07,0.1,0.15,Cluster 1
113,0.4,0.59,0.77,0.99,0.24,Cluster 1
114,0.43,0.65,0.76,0.94,0.29,Cluster 1
115,0.6,0.08,0.13,0.14,0.32,Cluster 1
116,0.8,0.24,0.23,0.29,0.98,Cluster 1
117,0.65,0.09,0.16,0.49,0.31,Cluster 1
118,0.68,0.16,0.2,0.59,0.6,Cluster 1
119,0.75,0.22,0.24,0.96,0.62,Cluster 1
120,0.87,0.23,0.25,0.85,0.8,Cluster 1
121,0.52,0.08,0.33,0.07,0.09,Cluster 1
122,0.62,0.12,0.36,0.36,0.32,Cluster 1
123,0.68,0.15,0.58,0.35,0.6,Cluster 1
124,0.54,0.25,0.07,0.09,0.11,Cluster 1
125,0.9,0.31,0.24,0.3,0.97,Cluster 1
126,0.56,0.27,0.11,0.59,0.22,Cluster 1
127,0.85,0.32,0.22,0.87,0.79,Cluster 1
128,0.52,0.28,0.32,0.1,0.1,Cluster 1
129,0.78,0.47,0.24,0.3,0.93,Cluster 1
130,0.56,0.35,0.1,0.62,0.23,Cluster 1
131,0.61,0.38,0.09,0.38,0.3,Cluster 1
132,0.78,0.47,0.29,0.98,0.59,Noise
133,0.58,0.4,0.32,0.22,0.24,Cluster 1
134,0.68,0.43,0.6,0.47,0.55,Cluster 1
135,0.57,0.37,0.75,0.27,0.32,Cluster 1
136,0.62,0.56,0.11,0.24,0.22,Cluster 1
137,0.64,0.58,0.14,0.32,0.21,Cluster 1
138,0.64,0.59,0.12,0.58,0.24,Cluster 1
139,0.68,0.61,0.34,0.31,0.23,Cluster 1
140,0.9,0.78,0.62,0.32,0.89,Noise
141,0.85,0.82,0.66,0.83,0.83,Noise
142,0.56,0.6,0.77,0.13,0.32,Cluster 1
143,0.66,0.68,0.81,0.57,0.57,Cluster 1
144,0.68,0.64,0.79,0.97,0.24,Cluster 1
145,0.0,0.0,0.0,0.0,0.0,Cluster 1
146,0.08,0.08,0.1,0.24,0.9,Cluster 1
147,0.06,0.06,0.05,0.25,0.33,Cluster 1
148,0.1,0.1,0.15,0.65,0.3,Cluster 1
149,0.08,0.08,0.08,0.98,0.24,Cluster 1
150,0.09,0.15,0.4,0.1,0.66,Cluster 1
151,0.1,0.1,0.43,0.29,0.56,Cluster 1
152,0.15,0.02,0.34,0.4,0.01,Cluster 1
153,0.2,0.14,0.35,0.72,0.25,Cluster 1
154,0.0,0.0,0.5,0.2,0.85,Cluster 1
155,0.18,0.18,0.55,0.3,0.81,Cluster 1
156,0.06,0.06,0.51,0.41,0.3,Cluster 1
157,0.1,0.1,0.52,0.78,0.34,Cluster 1
158,0.1,0.1,0.7,0.15,0.9,Cluster 1
159,0.2,0.2,0.7,0.3,0.6,Cluster 1
160,0.12,0.12,0.75,0.35,0.8,Cluster 1
161,0.05,0.07,0.7,0.01,0.05,Cluster 1
162,0.1,0.25,0.1,0.08,0.33,Cluster 1
163,0.15,0.32,0.05,0.27,0.29,Cluster 1
164,0.2,0.29,0.25,0.49,0.56,Cluster 1
165,0.12,0.28,0.2,0.78,0.2,Cluster 1
166,0.18,0.3,0.37,0.12,0.66,Cluster 1
167,0.1,0.27,0.31,0.29,0.65,Cluster 1
168,0.18,0.31,0.32,0.42,0.28,Cluster 1
169,0.06,0.29,0.35,0.76,0.25,Cluster 1
170,0.09,0.3,0.68,0.18,0.85,Cluster 1
171,0.04,0.28,0.55,0.25,0.1,Cluster 1
172,0.09,0.255,0.6,0.45,0.25,Cluster 1
173,0.08,0.325,0.62,0.94,0.56,Cluster 1
174,0.15,0.275,0.8,0.21,0.81,Cluster 1
175,0.12,0.245,0.75,0.31,0.59,Cluster 1
176,0.15,0.295,0.75,0.65,0.24,Cluster 1
177,0.1,0.256,0.7,0.76,0.16,Cluster 1
178,0.18,0.32,0.04,0.19,0.82,Cluster 1
179,0.2,0.45,0.28,0.31,0.78,Cluster 1
180,0.06,0.35,0.12,0.43,0.29,Cluster 1
181,0.1,0.42,0.22,0.72,0.26,Cluster 1
182,0.18,0.4,0.32,0.08,0.33,Cluster 1
183,0.09,0.33,0.31,0.26,0.0,Cluster 1
184,0.19,0.38,0.38,0.49,0.45,Cluster 1
185,0.02,0.33,0.36,0.76,0.1,Cluster 1
186,0.2,0.49,0.6,0.2,0.78,Cluster 1
187,0.14,0.49,0.55,0.29,0.6,Cluster 1
188,0.18,0.33,0.61,0.64,0.25,Cluster 1
189,0.115,0.35,0.65,0.27,0.04,Cluster 1
190,0.17,0.36,0.8,0.14,0.66,Cluster 1
191,0.1,0.39,0.75,0.31,0.62,Cluster 1
192,0.13,0.39,0.85,0.38,0.77,Cluster 1
193,0.18,0.34,0.71,0.71,0.9,Cluster 1
194,0.09,0.51,0.02,0.18,0.67,Cluster 1
195,0.06,0.5,0.09,0.28,0.25,Cluster 1
196,0.23,0.7,0.19,0.51,0.45,Cluster 1
197,0.09,0.55,0.12,0.78,0.05,Cluster 1
198,0.24,0.75,0.32,0.18,0.86,Cluster 1
199,0.18,0.72,0.37,0.29,0.55,Cluster 1
200,0.1,0.6,0.33,0.42,0.26,Cluster 1
201,0.2,0.52,0.36,0.84,0.25,Cluster 1
202,0.09,0.6,0.66,0.19,0.59,Cluster 1
203,0.18,0.51,0.58,0.33,0.82,Cluster 1
204,0.08,0.58,0.6,0.64,0.1,Cluster 1
205,0.09,0.61,0.53,0.75,0.01,Cluster 1
206,0.06,0.77,0.72,0.19,0.56,Cluster 1
207,0.15,0.79,0.78,0.3,0.51,Cluster 1
208,0.2,0.68,0.73,0.48,0.28,Cluster 1
209,0.24,0.58,0.76,0.8,0.28,Cluster 1
210,0.25,0.1,0.03,0.09,0.15,Cluster 1
211,0.32,0.2,0.06,0.26,0.24,Cluster 1
212,0.29,0.06,0.19,0.55,0.51,Cluster 1
213,0.28,0.1,0.12,0.28,0.32,Cluster 1
214,0.3,0.08,0.4,0.02,0.67,Cluster 1
215,0.27,0.12,0.37,0.29,0.58,Cluster 1
216,0.31,0.1,0.41,0.42,0.75,Cluster 1
217,0.29,0.15,0.33,0.66,0.08,Cluster 1
218,0.3,0.2,0.52,0.3,0.53,Cluster 1
219,0.28,0.16,0.69,0.33,0.78,Cluster 1
220,0.255,0.18,0.5,0.4,0.1,Cluster 1
221,0.265,0.06,0.57,0.75,0.1,Cluster 1
222,0.275,0.1,0.72,0.1,0.3,Cluster 1
223,0.245,0.1,0.71,0.26,0.2,Cluster 1
224,0.295,0.2,0.86,0.44,0.28,Cluster 1
225,0.32,0.12,0.79,0.76,0.24,Cluster 1
226,0.295,0.25,0.26,0.12,0.67,Cluster 1
227,0.315,0.32,0.29,0.29,0.62,Cluster 1
228,0.25,0.29,0.15,0.48,0.26,Cluster 1
229,0.27,0.1,0.1,0.7,0.25,Cluster 1
230,0.248,0.3,0.31,0.2,0.03,Cluster 1
231,0.325,0.25,0.38,0.31,0.79,Cluster 1
232,0.27,0.31,0.32,0.41,0.28,Cluster 1
233,0.29,0.29,0.4,0.78,0.18,Cluster 1
234,0.29,0.3,0.52,0.09,0.67,Cluster 1
235,0.258,0.28,0.64,0.29,0.56,Cluster 1
236,0.32,0.255,0.55,0.78,0.34,Cluster 1
237,0.251,0.265,0.57,0.6,0.09,Cluster 1
238,0.28800000000000003,0.31,0.79,0.23,0.24,Cluster 1
239,0.32299999999999995,0.32,0.89,0.32,0.8,Cluster 1
240,0.255,0.305,0.86,0.62,0.15,Cluster 1
241,0.295,0.25,0.73,0.77,0.19,Cluster 1
242,0.258,0.25,0.295,0.33,0.77,Cluster 1
243,0.29,0.25,0.29,0.29,0.57,Cluster 1
244,0.243,0.27,0.08,0.42,0.29,Cluster 1
245,0.27,0.28,0.18,0.48,0.26,Cluster 1
246,0.299,0.32,0.31,0.33,0.87,Cluster 1
247,0.3,0.27,0.31,0.31,0.54,Cluster 1
248,0.245,0.26,0.38,0.49,0.27,Cluster 1
249,0.295,0.29,0.31,0.76,0.1,Cluster 1
250,0.29,0.3,0.56,0.25,0.67,Cluster 1
251,0.26,0.28,0.6,0.29,0.59,Cluster 1
252,0.305,0.255,0.63,0.4,0.54,Cluster 1
253,0.32,0.27,0.52,0.81,0.3,Cluster 1
254,0.299,0.295,0.8,0.37,0.84,Cluster 1
255,0.276,0.255,0.81,0.27,0.33,Cluster 1
256,0.258,0.31,0.88,0.4,0.3,Cluster 1
257,0.32,0.28,0.72,0.89,0.58,Cluster 1
258,0.32899999999999996,0.55,0.02,0.4,0.79,Cluster 1
259,0.295,0.59,0.29,0.31,0.55,Cluster 1
260,0.285,0.64,0.18,0.61,0.45,Cluster 1
261,0.265,0.6,0.28,0.66,0.07,Cluster 1
262,0.315,0.69,0.28,0.8,0.7,Cluster 1
263,0.28,0.78,0.44,0.17,0.66,Cluster 1
264,0.325,0.61,0.46,0.32,0.81,Cluster 1
265,0.28,0.65,0.4,0.65,0.13,Cluster 1
266,0.255,0.75,0.35,0.72,0.25,Cluster 1
267,0.305,0.55,0.5,0.11,0.33299999999999996,Cluster 1
268,0.3,0.85,0.54,0.25,0.83,Cluster 1
269,0.325,0.9,0.52,0.49,0.76,Cluster 1
270,0.312,0.8,0.67,0.92,0.5,Cluster 1
271,0.299,0.7,0.95,0.22,0.66,Cluster 1
272,0.265,0.76,0.8,0.28,0.28,Cluster 1
273,0.255,0.72,0.72,0.63,0.14,Cluster 1
274,0.295,0.6,0.72,0.88,0.28,Cluster 1
275,0.39,0.05,0.02,0.06,0.34,Cluster 1
276,0.4,0.18,0.26,0.26,0.67,Cluster 1
277,0.45,0.04,0.18,0.55,0.07,Cluster 1
278,0.48,0.12,0.28,0.7,0.71,Cluster 1
279,0.4,0.12,0.41,0.1,0.65,Cluster 1
280,0.41,0.18,0.33,0.31,0.5,Cluster 1
281,0.38,0.1,0.4,0.48,0.26,Cluster 1
282,0.37,0.06,0.32,0.78,0.1,Cluster 1
283,0.41,0.09,0.58,0.18,0.58,Cluster 1
284,0.38,0.01,0.53,0.27,0.3,Cluster 1
285,0.33,0.04,0.5,0.55,0.1,Cluster 1
286,0.42,0.15,0.66,0.78,0.4,Cluster 1
287,0.44,0.08,0.8,0.22,0.56,Cluster 1
288,0.39,0.15,0.81,0.22,0.29,Cluster 1
289,0.42,0.21,0.87,0.56,0.48,Cluster 1
290,0.46,0.2,0.76,0.95,0.65,Cluster 1
291,0.365,0.243,0.19,0.24,0.35,Cluster 1
292,0.33,0.27,0.2,0.33,0.1,Cluster 1
293,0.345,0.299,0.1,0.64,0.13,Cluster 1
294,0.48,0.3,0.15,0.65,0.77,Cluster 1
295,0.49,0.245,0.38,0.14,0.86,Cluster 1
296,0.33399999999999996,0.295,0.33,0.32,0.3,Cluster 1
297,0.36,0.29,0.37,0.48,0.13,Cluster 1
298,0.39,0.26,0.39,0.77,0.14,Cluster 1
299,0.43,0.305,0.51,0.09,0.64,Cluster 1
300,0.44,0.32,0.55,0.33,0.52,Cluster 1
301,0.45,0.299,0.63,0.36,0.51,Cluster 1
302,0.495,0.276,0.58,0.77,0.83,Cluster 1
303,0.465,0.258,0.73,0.18,0.59,Cluster 1
304,0.475,0.32,0.79,0.31,0.54,Cluster 1
305,0.348,0.32899999999999996,0.83,0.61,0.18,Cluster 1
306,0.385,0.26,0.76,0.84,0.3,Cluster 1
307,0.445,0.39,0.02,0.24,0.88,Cluster 1
308,0.43,0.45,0.27,0.27,0.89,Cluster 1
309,0.33,0.34,0.1,0.49,0.12,Cluster 1
310,0.4,0.33,0.12,0.3,0.9,Cluster 1
311,0.34,0.4,0.38,0.2,0.61,Cluster 1
312,0.38,0.36,0.46,0.49,0.78,Cluster 1
313,0.35,0.38,0.32,0.6,0.16,Cluster 1
314,0.41,0.49,0.34,0.21,0.92,Cluster 1
315,0.42,0.36,0.63,0.04,0.25,Cluster 1
316,0.43,0.38,0.62,0.33,0.49,Cluster 1
317,0.44,0.33,0.59,0.53,0.85,Cluster 1
318,0.4,0.42,0.58,0.75,0.16,Cluster 1
319,0.46,0.44,0.89,0.12,0.66,Cluster 1
320,0.38,0.39,0.79,0.33,0.3,Cluster 1
321,0.39,0.42,0.83,0.65,0.19,Cluster 1
322,0.49,0.34,0.88,0.75,0.71,Cluster 1
323,0.46,0.64,0.22,0.22,0.6,Cluster 1
324,0.44,0.55,0.11,0.26,0.83,Cluster 1
325,0.365,0.68,0.1,0.63,0.18,Cluster 1
326,0.45,0.65,0.19,0.99,0.55,Cluster 1
327,0.46,0.78,0.38,0.24,0.89,Cluster 1
328,0.37,0.55,0.41,0.29,0.3,Cluster 1
329,0.38,0.59,0.31,0.62,0.2,Cluster 1
330,0.49,0.64,0.34,0.78,0.21,Cluster 1
331,0.495,0.82,0.67,0.01,0.93,Cluster 1
332,0.44,0.69,0.61,0.29,0.57,Cluster 1
333,0.365,0.57,0.59,0.55,0.25,Cluster 1
334,0.49,0.9,0.52,0.9,0.47,Cluster 1
335,0.445,0.7,0.82,0.16,0.64,Cluster 1
336,0.42,0.7,0.72,0.3,0.8,Cluster 1
337,0.37,0.6,0.77,0.4,0.5,Cluster 1
338,0.4,0.61,0.71,0.88,0.67,Cluster 1
339,0.6,0.14,0.22,0.11,0.66,Cluster 1
340,0.55,0.1,0.27,0.25,0.29,Cluster 1
341,0.68,0.19,0.19,0.48,0.1,Cluster 1
342,0.73,0.2,0.07,0.72,0.26,Cluster 1
343,0.78,0.15,0.38,0.18,0.63,Cluster 1
344,0.55,0.1,0.34,0.3,0.1,Cluster 1
345,0.59,0.18,0.31,0.55,0.09,Cluster 1
346,0.64,0.09,0.33,0.65,0.5,Cluster 1
347,0.6,0.19,0.55,0.08,0.1,Cluster 1
348,0.69,0.02,0.62,0.3,0.29,Cluster 1
349,0.78,0.21,0.68,0.65,0.75,Cluster 1
350,0.62,0.14,0.52,0.81,0.15,Cluster 1
351,0.7,0.18,0.88,0.09,0.66,Cluster 1
352,0.75,0.015,0.78,0.31,0.53,Cluster 1
353,0.55,0.17,0.71,0.48,0.11,Cluster 1
354,0.85,0.05,0.91,0.8,0.68,Noise
355,0.78,0.27,0.13,0.14,0.62,Cluster 1
356,0.8,0.29,0.06,0.31,0.51,Cluster 1
357,0.9,0.26,0.19,0.58,0.79,Cluster 1
358,0.76,0.258,0.07,0.83,0.34,Cluster 1
359,0.72,0.32,0.48,0.2,0.6,Cluster 1
360,0.6,0.251,0.39,0.29,0.3,Cluster 1
361,0.52,0.28800000000000003,0.32,0.5,0.3,Cluster 1
362,0.6,0.31,0.31,0.87,0.58,Cluster 1
363,0.51,0.255,0.55,0.17,0.64,Cluster 1
364,0.58,0.295,0.62,0.28,0.3,Cluster 1
365,0.61,0.258,0.56,0.62,0.24,Cluster 1
366,0.77,0.267,0.59,0.78,0.28,Cluster 1
367,0.79,0.28,0.88,0.2,0.66,Cluster 1
368,0.68,0.27,0.78,0.31,0.57,Cluster 1
369,0.58,0.299,0.73,0.63,0.21,Cluster 1
370,0.77,0.29,0.74,0.82,0.68,Cluster 1
371,0.71,0.475,0.13,0.23,0.59,Cluster 1
372,0.58,0.348,0.06,0.29,0.31,Cluster 1
373,0.88,0.335,0.19,0.55,0.78,Cluster 1
374,0.99,0.49,0.07,0.7,0.69,Noise
375,0.73,0.43,0.32,0.12,0.65,Cluster 1
376,0.61,0.33,0.36,0.28,0.28,Cluster 1
377,0.51,0.4,0.4,0.59,0.23,Cluster 1
378,0.83,0.44,0.49,0.91,0.66,Cluster 1
379,0.66,0.38,0.55,0.15,0.62,Cluster 1
380,0.58,0.35,0.51,0.27,0.3,Cluster 1
381,0.523,0.41,0.55,0.6,0.22,Cluster 1
382,0.66,0.36,0.56,0.4,0.83,Cluster 1
383,0.62,0.37,0.81,0.13,0.64,Cluster 1
384,0.52,0.44,0.82,0.3,0.52,Cluster 1
385,0.5,0.4,0.73,0.62,0.2,Cluster 1
386,0.71,0.46,0.95,0.78,0.86,Noise
387,0.64,0.55,0.15,0.18,0.63,Cluster 1
388,0.52,0.85,0.06,0.27,0.25,Cluster 1
389,0.62,0.62,0.24,0.65,0.25,Cluster 1
390,0.91,0.58,0.26,0.89,0.88,Noise
391,0.62,0.67,0.39,0.1,0.66,Cluster 1
392,0.58,0.58,0.31,0.29,0.29,Cluster 1
393,0.89,0.68,0.49,0.65,0.9,Noise
394,0.72,0.6,0.45,0.79,0.45,Cluster 1
395,0.68,0.63,0.65,0.09,0.66,Cluster 1
396,0.56,0.6,0.6,0.31,0.5,Cluster 1
397,0.54,0.51,0.55,0.64,0.19,Cluster 1
398,0.61,0.78,0.69,0.92,0.58,Noise
399,0.78,0.61,0.71,0.19,0.6,Cluster 1
400,0.54,0.82,0.71,0.29,0.77,Cluster 1
401,0.5,0.75,0.81,0.61,0.26,Cluster 1
402,0.66,0.9,0.76,0.87,0.74,Noise
